10	1	0.000014
10	1	0.000015
10	1	0.000014
10	1	0.000014
10	1	0.000015
10	1	0.000013
10	1	0.000013
10	1	0.000014
10	1	0.000013
10	1	0.000015
100	1	0.000016
100	1	0.000016
100	1	0.000017
100	1	0.000017
100	1	0.000016
100	1	0.000017
100	1	0.000016
100	1	0.000015
100	1	0.000016
100	1	0.000014
5000	1	0.000061
5000	1	0.000065
5000	1	0.000062
5000	1	0.000060
5000	1	0.000063
5000	1	0.000065
5000	1	0.000066
5000	1	0.000064
5000	1	0.000066
5000	1	0.000070
10	4	0.009381
10	4	0.002864
10	4	0.000299
10	4	0.007170
10	4	0.001310
10	4	0.009101
10	4	0.000109
10	4	0.001483
10	4	0.010331
10	4	0.004908
100	4	0.000144
100	4	0.000116
100	4	0.000235
100	4	0.000219
100	4	0.001609
100	4	0.004883
100	4	0.000970
100	4	0.008616
100	4	0.000218
100	4	0.000904
5000	4	0.000260
5000	4	0.000354
5000	4	0.000418
5000	4	0.012453
5000	4	0.000210
5000	4	0.000262
5000	4	0.000453
5000	4	0.005419
5000	4	0.000258
5000	4	0.000439
5000	16	0.179774
5000	16	0.184153
5000	16	0.177268
5000	16	0.179732
5000	16	0.180789
5000	16	0.176912
5000	16	0.174950
5000	16	0.192996
5000	16	0.174738
5000	16	0.187636
100	64	0.859720
100	64	0.805788
100	64	0.809216
100	64	0.796309
100	64	0.796052
100	64	0.808232
100	64	0.813556
100	64	0.797280
100	64	0.799478
100	64	0.797269
5000	256	3.299902
5000	256	3.534958
5000	256	3.270515
5000	256	3.291830
5000	256	3.434682
5000	256	3.275103
5000	256	3.352077
5000	256	3.285095
5000	256	3.255332
5000	256	3.289195
